insphf(1,3,3);
insphf(2,4,3);
insphf(3,6,3);
insphf(4,9,3);
insphf(5,10,3);
insphf(6,12,3);
insphf(7,16,3);
insphf(8,19,3);
insphf(9,27,3);
insphf(10,29,3);
insphf(11,30,3);
insphf(12,36,3);
insphf(13,37,3);
insphf(14,38,3);
insphf(15,50,3);
insphf(16,81,3);
insphf(17,82,3);
insphf(18,83,3);
insphf(19,84,3);
insphf(20,100,3);
insphf(21,101,3);
insphf(22,102,3);
insphf(23,103,3);
insphf(24,144,3);
insphf(25,243,3);
insphf(26,244,3);
insphf(27,245,3);
insphf(28,729,3);
insphf(29,730,3);
insphf(30,731,3);
insphf(31,732,3);
insphf(32,736,3);
insphf(33,737,3);
insphf(34,738,3);
insphf(35,739,3);
insphf(36,743,3);
insphf(37,744,3);
insphf(38,745,3);
insphf(39,746,3);
insphf(40,841,3);
insphf(41,842,3);
insphf(42,1332,3);
insphf(43,1333,3);
insphf(44,1334,3);
insphf(45,1335,3);
insphf(46,1458,3);
insphf(47,1459,3);
insphf(48,1460,3);
insphf(49,4096,3);
insphf(50,4097,3);
insphf(51,4098,3);
insphf(52,4099,3);
insphf(53,4100,3);
insphf(54,4101,3);
insphf(55,4102,3);
insphf(56,6859,3);
insphf(57,6860,3);
insphf(58,6861,3);
insphf(59,6862,3);
insphf(60,14642,3);
insphf(61,14643,3);
insphf(62,14644,3);
insphf(63,19683,3);
insphf(64,19684,3);
insphf(65,19685,3);
insphf(66,19686,3);
insphf(67,19687,3);
insphf(68,19688,3);
insphf(69,19689,3);
insphf(70,65536,3);
insphf(71,65537,3);
insphf(72,65538,3);
insphf(73,65539,3);
insphf(74,65540,3);
insphf(75,65541,3);
insphf(76,65542,3);
insphf(77,65550,3);
insphf(78,65551,3);
insphf(79,65552,3);
insphf(80,130321,3);
insphf(81,130322,3);
insphf(82,130323,3);
insphf(83,130324,3);
insphf(84,130325,3);
insphf(85,130326,3);
insphf(86,130327,3);
insphf(87,130328,3);
insphf(88,130338,3);
insphf(89,130339,3);
insphf(90,531441,3);
insphf(1,4,4);
insphf(2,6,4);
insphf(3,8,4);
insphf(4,16,4);
insphf(5,20,4);
insphf(6,25,4);
insphf(7,32,4);
insphf(8,42,4);
insphf(9,64,4);
insphf(10,66,4);
insphf(11,68,4);
insphf(12,70,4);
insphf(13,72,4);
insphf(14,84,4);
insphf(15,128,4);
insphf(16,256,4);
insphf(17,258,4);
insphf(18,260,4);
insphf(19,262,4);
insphf(20,400,4);
insphf(21,512,4);
insphf(22,514,4);
insphf(23,516,4);
insphf(24,625,4);
insphf(25,1024,4);
insphf(26,1026,4);
insphf(27,1028,4);
insphf(28,4096,4);
insphf(29,4098,4);
insphf(30,4100,4);
insphf(31,4102,4);
insphf(32,4110,4);
insphf(33,4112,4);
insphf(34,4114,4);
insphf(35,6860,4);
insphf(36,6862,4);
insphf(37,6864,4);
insphf(38,6866,4);
insphf(39,6868,4);
insphf(40,65536,4);
insphf(41,65538,4);
insphf(42,65540,4);
insphf(43,65542,4);
insphf(44,65550,4);
insphf(45,65552,4);
insphf(46,65554,4);
insphf(47,65556,4);
insphf(48,65564,4);
insphf(49,65566,4);
insphf(50,130322,4);
insphf(51,130324,4);
insphf(52,1048576,4);
insphf(1,5,5);
insphf(2,8,5);
insphf(3,12,5);
insphf(4,25,5);
insphf(5,38,5);
insphf(6,47,5);
insphf(7,50,5);
insphf(8,64,5);
insphf(9,125,5);
insphf(10,128,5);
insphf(11,131,5);
insphf(12,144,5);
insphf(13,147,5);
insphf(14,512,5);
insphf(15,515,5);
insphf(16,625,5);
insphf(17,628,5);
insphf(18,631,5);
insphf(19,634,5);
insphf(20,1444,5);
insphf(21,1447,5);
insphf(22,1450,5);
insphf(23,1453,5);
insphf(24,2209,5);
insphf(25,3125,5);
insphf(26,3128,5);
insphf(27,3131,5);
insphf(28,15625,5);
insphf(29,15628,5);
insphf(30,15631,5);
insphf(31,15634,5);
insphf(32,15648,5);
insphf(33,15651,5);
insphf(34,15654,5);
insphf(35,50654,5);
insphf(36,50657,5);
insphf(37,50660,5);
insphf(38,50663,5);
insphf(39,50666,5);
insphf(40,390625,5);
insphf(41,390628,5);
insphf(42,390631,5);
insphf(43,390634,5);
insphf(44,390648,5);
insphf(45,390651,5);
insphf(46,390654,5);
insphf(47,390657,5);
insphf(48,390671,5);
insphf(49,390674,5);
insphf(50,1874162,5);
insphf(1,6,6);
insphf(2,10,6);
insphf(3,18,6);
insphf(4,36,6);
insphf(5,50,6);
insphf(6,54,6);
insphf(7,58,6);
insphf(8,100,6);
insphf(9,126,6);
insphf(10,130,6);
insphf(11,150,6);
insphf(12,324,6);
insphf(13,328,6);
insphf(14,730,6);
insphf(15,734,6);
insphf(16,1296,6);
insphf(17,1300,6);
insphf(18,1304,6);
insphf(19,1308,6);
insphf(20,2500,6);
insphf(21,4914,6);
insphf(22,4918,6);
insphf(23,4922,6);
insphf(24,4930,6);
insphf(25,4934,6);
insphf(26,4938,6);
insphf(27,4946,6);
insphf(28,46656,6);
insphf(29,46660,6);
insphf(30,83522,6);
insphf(31,83526,6);
insphf(32,83530,6);
insphf(33,83538,6);
insphf(34,83542,6);
insphf(35,117650,6);
insphf(36,117654,6);
insphf(37,117658,6);
insphf(38,117662,6);
insphf(39,1419858,6);
insphf(1,7,7);
insphf(2,12,7);
insphf(3,22,7);
insphf(4,49,7);
insphf(5,70,7);
insphf(6,75,7);
insphf(7,343,7);
insphf(8,348,7);
insphf(9,353,7);
insphf(10,358,7);
insphf(11,363,7);
insphf(12,484,7);
insphf(13,686,7);
insphf(14,1332,7);
insphf(15,1337,7);
insphf(16,2401,7);
insphf(17,2406,7);
insphf(18,2411,7);
insphf(19,2660,7);
insphf(20,14642,7);
insphf(21,14647,7);
insphf(22,14652,7);
insphf(23,14657,7);
insphf(24,14662,7);
insphf(25,16807,7);
insphf(26,16812,7);
insphf(27,16817,7);
insphf(28,117649,7);
insphf(29,117654,7);
